Time,Event,Impact
04:00,CB Consumer Confidence  (Dec),High Volatility Expected
04:00,Core CPI (MoM)  (Dec),High Volatility Expected
04:00,Crude Oil Inventories  (Dec),High Volatility Expected
04:00,Existing Home Sales  (Dec),High Volatility Expected
04:00,Initial Jobless Claims  (Dec),High Volatility Expected
04:00,ISM Manufacturing PMI  (Dec),High Volatility Expected
04:00,New Home Sales  (Dec),High Volatility Expected
04:00,Philadelphia Fed Manufacturing Index  (Dec),High Volatility Expected
07:30,Unemployment Rate  (Dec),High Volatility Expected
07:30,Nonfarm Payrolls  (Dec),High Volatility Expected
04:00,CB Consumer Confidence  (Jan),High Volatility Expected
04:00,Core CPI (MoM)  (Jan),High Volatility Expected
04:00,Crude Oil Inventories  (Jan),High Volatility Expected
04:00,Existing Home Sales  (Jan),High Volatility Expected
04:00,Initial Jobless Claims  (Jan),High Volatility Expected
04:00,ISM Manufacturing PMI  (Jan),High Volatility Expected
04:00,New Home Sales  (Jan),High Volatility Expected
04:00,Philadelphia Fed Manufacturing Index  (Jan),High Volatility Expected
07:30,Unemployment Rate  (Jan),High Volatility Expected
07:30,Nonfarm Payrolls  (Jan),High Volatility Expected
04:00,CB Consumer Confidence  (Feb),High Volatility Expected
04:00,Core CPI (MoM)  (Feb),High Volatility Expected
04:00,Crude Oil Inventories  (Feb),High Volatility Expected
04:00,Existing Home Sales  (Feb),High Volatility Expected
04:00,Initial Jobless Claims  (Feb),High Volatility Expected
04:00,ISM Manufacturing PMI  (Feb),High Volatility Expected
04:00,New Home Sales  (Feb),High Volatility Expected
04:00,Philadelphia Fed Manufacturing Index  (Feb),High Volatility Expected
07:30,Unemployment Rate  (Feb),High Volatility Expected
07:30,Nonfarm Payrolls  (Feb),High Volatility Expected
04:00,CB Consumer Confidence  (Mar),High Volatility Expected
04:00,Core CPI (MoM)  (Mar),High Volatility Expected
04:00,Crude Oil Inventories  (Mar),High Volatility Expected
04:00,Existing Home Sales  (Mar),High Volatility Expected
04:00,Initial Jobless Claims  (Mar),High Volatility Expected
04:00,ISM Manufacturing PMI  (Mar),High Volatility Expected
04:00,New Home Sales  (Mar),High Volatility Expected
04:00,Philadelphia Fed Manufacturing Index  (Mar),High Volatility Expected
07:30,Unemployment Rate  (Mar),High Volatility Expected
07:30,Nonfarm Payrolls  (Mar),High Volatility Expected
04:00,CB Consumer Confidence  (Apr),High Volatility Expected
04:00,Core CPI (MoM)  (Apr),High Volatility Expected
04:00,Crude Oil Inventories  (Apr),High Volatility Expected
04:00,Existing Home Sales  (Apr),High Volatility Expected
04:00,Initial Jobless Claims  (Apr),High Volatility Expected
04:00,ISM Manufacturing PMI  (Apr),High Volatility Expected
04:00,New Home Sales  (Apr),High Volatility Expected
04:00,Philadelphia Fed Manufacturing Index  (Apr),High Volatility Expected
07:30,Unemployment Rate  (Apr),High Volatility Expected
07:30,Nonfarm Payrolls  (Apr),High Volatility Expected
04:00,CB Consumer Confidence  (May),High Volatility Expected
04:00,Core CPI (MoM)  (May),High Volatility Expected
04:00,Crude Oil Inventories  (May),High Volatility Expected
04:00,Existing Home Sales  (May),High Volatility Expected
04:00,Initial Jobless Claims  (May),High Volatility Expected
04:00,ISM Manufacturing PMI  (May),High Volatility Expected
04:00,New Home Sales  (May),High Volatility Expected
04:00,Philadelphia Fed Manufacturing Index  (May),High Volatility Expected
07:30,Nonfarm Payrolls  (May),High Volatility Expected
07:30,Unemployment Rate  (May),High Volatility Expected
04:00,CB Consumer Confidence  (Jun),High Volatility Expected
